,Lawyer,Matter Type,Jurisdiction,Industry,Client Role,Tort,Contract,Restitution,Statute,Injunction,Jurisdiction Motion,Motion to Strike,Summary Judgment,Claim Amount
4186,Lawyer Epsilon,Class Action (Securities),Alberta,Transportation,Third Party,1,1,1,1,0,0,1,1,7273677
4187,Lawyer Zeta,Action (Privacy),Federal,Pharmaceuticals,Third Party,0,0,1,0,0,1,1,0,19081485
4188,Lawyer Gamma,Action (Securities),Alberta,Technology,Third Party,1,0,0,1,0,0,1,1,14006162
4189,Lawyer Delta,Action (Securities),Alberta,Pharmaceuticals,Defendant,1,1,1,1,0,0,0,0,13981529
4190,Lawyer Gamma,Action (Securities),Ontario,Pharmaceuticals,Defendant,0,1,1,0,0,1,1,1,10269909
4191,Lawyer Kappa,Action (Privacy),Quebec,Construction,Plaintiff,0,0,1,0,0,0,0,0,4563232
4192,Lawyer Alpha,Action (Product Liability),British Columbia,Technology,Third Party,0,0,0,0,1,0,1,0,2125183
4193,Lawyer Epsilon,Class Action (Securities),Federal,Technology,Plaintiff,1,1,0,1,0,1,1,0,2459595
4194,Lawyer Delta,Class Action (Securities),British Columbia,Banking,Plaintiff,0,0,0,0,0,0,1,1,17464516
4195,Lawyer Gamma,Class Action (Privacy,British Columbia,Transportation,Defendant,0,1,0,0,1,0,0,1,2511699
4196,Lawyer Theta,Action (Product Liability),Ontario,Resources,Defendant,1,1,0,0,1,1,0,0,13349329
4197,Lawyer Kappa,Action (Privacy),Quebec,Transportation,Defendant,0,0,0,1,1,0,1,1,716434
4198,Lawyer Beta,Action (Privacy),Ontario,Insurance,Plaintiff,1,0,1,0,0,0,0,1,2494749
4199,Lawyer Theta,Action (Product Liability),Alberta,Construction,Defendant,1,1,0,1,1,1,0,1,14175543
4200,Lawyer Delta,Class Action (Privacy,British Columbia,Insurance,Third Party,1,0,1,0,0,1,0,0,5451895
4201,Lawyer Delta,Class Action (Competition),Ontario,Transportation,Plaintiff,0,1,0,0,1,1,1,1,981842
4202,Lawyer Eta,Action (Commercial),Alberta,Technology,Plaintiff,1,1,0,1,1,0,0,0,11594190
4203,Lawyer Theta,Class Action (Securities),Quebec,Banking,Third Party,0,1,1,0,0,0,0,1,16107351
4204,Lawyer Zeta,Action (Privacy),Quebec,Transportation,Plaintiff,1,0,0,1,1,0,1,1,6753723
4205,Lawyer Iota,Class Action (Securities),Federal,Technology,Plaintiff,1,1,0,0,1,0,0,0,14999645
4206,Lawyer Iota,Class Action (Product Liabilty,Quebec,Construction,Third Party,1,1,0,1,0,0,0,0,19778874
4207,Lawyer Theta,Action (Commercial),Federal,Technology,Third Party,1,1,0,1,0,0,1,0,7003875
4208,Lawyer Alpha,Class Action (Securities),British Columbia,Pharmaceuticals,Defendant,0,1,1,1,1,1,0,0,6835900
4209,Lawyer Eta,Action (Product Liability),British Columbia,Insurance,Third Party,0,1,0,0,1,1,1,0,15924229
4210,Lawyer Alpha,Class Action (Competition),Ontario,Banking,Plaintiff,1,1,0,1,0,0,1,1,2654246
4211,Lawyer Iota,Class Action (Securities),Quebec,Resources,Plaintiff,1,1,0,1,0,0,0,1,18367139
4212,Lawyer Zeta,Action (Securities),Ontario,Technology,Defendant,1,1,1,0,0,0,0,0,9195485
4213,Lawyer Kappa,Class Action (Product Liabilty,Federal,Retail,Third Party,1,0,1,1,0,0,1,1,11586948
4214,Lawyer Delta,Action (Commercial),British Columbia,Technology,Plaintiff,0,1,0,1,1,1,1,0,14771870
4215,Lawyer Kappa,Class Action (Competition),Federal,Pharmaceuticals,Third Party,0,1,1,0,1,0,0,0,9906937
4216,Lawyer Beta,Class Action (Securities),Federal,Construction,Defendant,0,0,1,1,1,1,1,1,514848
4217,Lawyer Beta,Action (Privacy),Alberta,Pharmaceuticals,Third Party,0,1,1,1,0,0,1,1,1201959
4218,Lawyer Beta,Class Action (Competition),Ontario,Resources,Defendant,1,1,1,0,0,0,1,0,13359366
4219,Lawyer Iota,Action (Product Liability),Ontario,Technology,Plaintiff,1,1,0,1,0,1,0,0,14012567
4220,Lawyer Zeta,Action (Privacy),Alberta,Transportation,Defendant,0,1,0,1,0,0,0,0,17179081
4221,Lawyer Theta,Action (Securities),Federal,Banking,Defendant,1,0,1,0,1,0,0,0,7885249
4222,Lawyer Gamma,Action (Securities),Federal,Insurance,Defendant,0,0,0,1,1,1,0,0,3169462
4223,Lawyer Eta,Class Action (Product Liabilty,British Columbia,Resources,Defendant,0,0,0,0,0,1,0,0,17297646
4224,Lawyer Eta,Class Action (Competition),British Columbia,Construction,Defendant,1,1,1,0,0,0,1,1,7046259
4225,Lawyer Delta,Class Action (Product Liabilty,British Columbia,Technology,Third Party,0,0,1,0,1,0,0,0,14234432
4226,Lawyer Alpha,Action (Commercial),Alberta,Construction,Defendant,1,0,1,0,0,1,0,0,11833236
4227,Lawyer Delta,Class Action (Competition),Alberta,Construction,Defendant,1,0,1,1,1,1,1,0,6575471
4228,Lawyer Zeta,Action (Securities),Ontario,Technology,Third Party,0,0,0,1,0,0,1,1,12978650
4229,Lawyer Eta,Class Action (Product Liabilty,Alberta,Construction,Defendant,0,1,1,1,1,0,0,1,1234644
4230,Lawyer Delta,Action (Commercial),Quebec,Construction,Defendant,0,0,0,0,1,0,1,0,10749538
4231,Lawyer Delta,Action (Product Liability),Federal,Construction,Third Party,1,1,0,1,0,1,0,0,16135532
4232,Lawyer Delta,Action (Securities),Alberta,Resources,Defendant,1,1,0,0,0,0,0,0,18810104
4233,Lawyer Alpha,Class Action (Competition),Ontario,Construction,Defendant,0,0,0,0,0,0,0,0,17473751
4234,Lawyer Epsilon,Action (Privacy),British Columbia,Insurance,Plaintiff,1,0,1,0,0,0,0,1,13271122
4235,Lawyer Eta,Action (Securities),British Columbia,Retail,Plaintiff,0,0,1,1,1,1,0,0,19831155
4236,Lawyer Theta,Action (Product Liability),Ontario,Retail,Plaintiff,1,0,0,1,0,0,0,0,10006490
4237,Lawyer Zeta,Action (Securities),Federal,Insurance,Third Party,1,0,0,0,1,1,0,1,18520096
4238,Lawyer Theta,Action (Commercial),Ontario,Construction,Plaintiff,1,1,1,0,1,1,1,0,12257624
4239,Lawyer Alpha,Class Action (Product Liabilty,British Columbia,Insurance,Defendant,0,0,0,0,1,1,0,0,4055768
4240,Lawyer Delta,Class Action (Privacy,Alberta,Banking,Plaintiff,0,0,1,1,0,0,0,1,17747739
4241,Lawyer Eta,Class Action (Privacy,Alberta,Pharmaceuticals,Third Party,1,0,0,0,1,1,0,0,18829448
4242,Lawyer Kappa,Class Action (Competition),Quebec,Resources,Plaintiff,0,0,0,0,1,0,0,0,6820695
4243,Lawyer Zeta,Action (Commercial),Federal,Banking,Plaintiff,0,0,1,1,0,1,1,1,8507350
4244,Lawyer Kappa,Action (Commercial),Quebec,Transportation,Third Party,0,1,0,0,1,1,0,1,14077831
4245,Lawyer Alpha,Class Action (Competition),Federal,Construction,Plaintiff,0,0,0,1,1,1,1,1,17662246
4246,Lawyer Gamma,Action (Product Liability),Alberta,Construction,Plaintiff,1,0,1,0,1,1,0,0,18790368
4247,Lawyer Delta,Action (Product Liability),Alberta,Retail,Third Party,0,0,0,1,1,1,0,1,12171769
4248,Lawyer Theta,Class Action (Competition),Federal,Technology,Plaintiff,0,0,0,0,0,0,0,1,18061420
4249,Lawyer Gamma,Action (Commercial),Quebec,Construction,Plaintiff,1,1,1,0,1,1,0,0,2378652
4250,Lawyer Delta,Action (Securities),Quebec,Insurance,Defendant,1,1,0,1,0,1,1,1,16249238
4251,Lawyer Delta,Action (Commercial),Ontario,Pharmaceuticals,Third Party,1,0,1,1,0,0,0,1,14867780
4252,Lawyer Alpha,Action (Privacy),Ontario,Retail,Third Party,1,1,0,1,1,0,1,1,13701601
4253,Lawyer Zeta,Action (Privacy),Quebec,Retail,Third Party,0,1,1,1,0,1,1,1,15754239
4254,Lawyer Beta,Class Action (Privacy,Ontario,Resources,Plaintiff,0,1,1,1,1,0,0,0,15871914
4255,Lawyer Alpha,Class Action (Securities),British Columbia,Technology,Plaintiff,1,0,1,1,1,0,0,1,8080187
4256,Lawyer Theta,Action (Privacy),Federal,Resources,Plaintiff,1,1,1,1,0,1,1,0,14947220
4257,Lawyer Eta,Action (Securities),British Columbia,Transportation,Plaintiff,1,0,0,0,1,0,0,0,15766132
4258,Lawyer Iota,Action (Product Liability),Alberta,Resources,Defendant,0,0,0,1,0,1,0,0,9795477
4259,Lawyer Zeta,Action (Product Liability),Federal,Resources,Defendant,1,1,0,0,1,0,0,1,2582307
4260,Lawyer Delta,Class Action (Privacy,Federal,Transportation,Plaintiff,0,1,1,1,1,0,0,0,10029609
4261,Lawyer Delta,Class Action (Securities),Ontario,Retail,Third Party,1,0,0,1,0,1,1,1,12853280
4262,Lawyer Epsilon,Class Action (Privacy,British Columbia,Banking,Defendant,1,1,1,0,1,0,0,1,12905650
4263,Lawyer Iota,Class Action (Privacy,Ontario,Pharmaceuticals,Third Party,0,1,0,1,1,1,1,1,10086668
4264,Lawyer Beta,Class Action (Privacy,Federal,Construction,Plaintiff,0,1,1,0,1,1,0,1,1227136
4265,Lawyer Gamma,Action (Privacy),British Columbia,Resources,Third Party,0,1,0,0,1,1,1,1,18859402
4266,Lawyer Alpha,Action (Privacy),Alberta,Pharmaceuticals,Plaintiff,1,0,1,1,0,0,0,1,18795991
4267,Lawyer Kappa,Action (Securities),Alberta,Transportation,Third Party,1,1,0,0,0,0,1,1,7682848
4268,Lawyer Eta,Class Action (Product Liabilty,Quebec,Construction,Defendant,1,1,1,1,0,1,0,0,6287969
4269,Lawyer Kappa,Action (Product Liability),Ontario,Technology,Defendant,1,1,0,0,1,0,1,0,13329547
4270,Lawyer Delta,Action (Commercial),British Columbia,Pharmaceuticals,Defendant,1,0,1,1,0,0,0,1,12956601
4271,Lawyer Gamma,Class Action (Product Liabilty,Federal,Resources,Plaintiff,1,0,1,1,1,0,1,0,6825071
4272,Lawyer Beta,Action (Product Liability),Quebec,Technology,Defendant,1,1,1,1,0,1,0,0,5363961
4273,Lawyer Iota,Class Action (Competition),Federal,Resources,Defendant,0,0,1,0,0,1,0,1,18152440
4274,Lawyer Iota,Action (Commercial),Federal,Insurance,Plaintiff,0,0,0,1,1,0,0,1,10943794
4275,Lawyer Zeta,Action (Product Liability),British Columbia,Insurance,Plaintiff,0,0,0,0,1,0,0,1,13764811
4276,Lawyer Epsilon,Class Action (Privacy,Federal,Resources,Defendant,1,1,1,1,0,1,1,0,10215888
4277,Lawyer Zeta,Action (Privacy),British Columbia,Resources,Plaintiff,0,1,1,1,1,0,1,0,10973643
4278,Lawyer Eta,Action (Product Liability),Quebec,Transportation,Third Party,0,0,1,0,0,0,1,0,7593066
4279,Lawyer Eta,Action (Commercial),Ontario,Resources,Plaintiff,0,0,0,0,0,0,1,1,12632694
4280,Lawyer Zeta,Class Action (Securities),Federal,Pharmaceuticals,Third Party,1,1,1,0,0,1,0,1,17047903
4281,Lawyer Epsilon,Class Action (Competition),British Columbia,Retail,Plaintiff,0,0,1,1,1,0,1,1,11866596
4282,Lawyer Theta,Class Action (Product Liabilty,Quebec,Construction,Third Party,1,0,1,1,1,1,1,0,6485166
4283,Lawyer Iota,Class Action (Privacy,Federal,Transportation,Plaintiff,0,0,1,0,1,1,1,1,13029588
4284,Lawyer Kappa,Action (Privacy),Quebec,Resources,Defendant,0,0,0,1,0,0,0,0,6945295
4285,Lawyer Gamma,Action (Commercial),Federal,Resources,Plaintiff,1,0,1,1,0,0,0,0,801801
4286,Lawyer Zeta,Class Action (Product Liabilty,British Columbia,Insurance,Defendant,0,1,1,0,1,1,0,1,12341170
4287,Lawyer Gamma,Class Action (Securities),British Columbia,Retail,Plaintiff,1,0,0,0,0,1,1,1,13872339
4288,Lawyer Kappa,Action (Commercial),Ontario,Pharmaceuticals,Defendant,1,0,1,0,0,1,1,1,8516501
4289,Lawyer Epsilon,Action (Privacy),British Columbia,Transportation,Third Party,0,1,1,1,1,1,0,0,2841069
4290,Lawyer Epsilon,Class Action (Securities),Ontario,Resources,Defendant,1,1,0,0,1,1,1,1,18999917
4291,Lawyer Epsilon,Class Action (Privacy,British Columbia,Transportation,Plaintiff,1,1,0,0,1,1,0,0,16877070
4292,Lawyer Alpha,Action (Commercial),Ontario,Retail,Third Party,0,0,0,0,0,0,0,1,11639877
4293,Lawyer Eta,Action (Commercial),Quebec,Resources,Defendant,0,0,0,0,0,0,0,1,7340606
4294,Lawyer Beta,Action (Securities),Federal,Insurance,Defendant,0,0,1,1,1,1,1,0,15133104
4295,Lawyer Kappa,Class Action (Privacy,Ontario,Transportation,Plaintiff,1,1,1,1,1,1,1,0,15293465
4296,Lawyer Alpha,Class Action (Competition),British Columbia,Construction,Plaintiff,1,0,0,1,1,1,1,1,13445761
4297,Lawyer Epsilon,Action (Securities),Federal,Transportation,Defendant,0,1,1,1,1,1,1,0,11813588
4298,Lawyer Zeta,Class Action (Securities),Alberta,Banking,Plaintiff,0,0,1,1,1,0,1,1,11857764
4299,Lawyer Epsilon,Class Action (Competition),British Columbia,Pharmaceuticals,Plaintiff,1,0,1,1,0,0,1,0,17047371
4300,Lawyer Gamma,Action (Commercial),Federal,Banking,Defendant,1,1,0,0,1,0,1,0,19830229
4301,Lawyer Delta,Action (Product Liability),British Columbia,Insurance,Defendant,0,0,0,0,1,0,0,1,2510796
4302,Lawyer Epsilon,Class Action (Privacy,Alberta,Retail,Third Party,0,0,0,1,1,1,1,1,3740469
4303,Lawyer Gamma,Class Action (Securities),Alberta,Transportation,Third Party,1,1,0,0,1,1,0,1,12925468
4304,Lawyer Alpha,Action (Commercial),Federal,Construction,Defendant,1,1,0,1,0,1,1,1,19963816
4305,Lawyer Iota,Action (Securities),Quebec,Retail,Defendant,1,0,1,0,0,1,0,1,19717513
4306,Lawyer Delta,Action (Securities),Alberta,Banking,Defendant,1,0,1,1,0,0,1,0,17300562
4307,Lawyer Theta,Class Action (Securities),British Columbia,Resources,Plaintiff,0,1,0,1,0,1,0,0,3910963
4308,Lawyer Kappa,Action (Privacy),Alberta,Technology,Plaintiff,1,0,0,1,1,0,1,0,5702882
4309,Lawyer Alpha,Class Action (Product Liabilty,Alberta,Construction,Plaintiff,1,1,0,1,1,1,0,0,10355365
4310,Lawyer Alpha,Class Action (Product Liabilty,Alberta,Retail,Defendant,0,1,1,0,0,1,1,1,14914591
4311,Lawyer Kappa,Action (Privacy),Federal,Retail,Defendant,1,0,1,1,1,0,1,1,4352975
4312,Lawyer Iota,Action (Commercial),Quebec,Insurance,Third Party,0,1,0,1,1,0,1,1,17988722
4313,Lawyer Gamma,Action (Privacy),Quebec,Construction,Defendant,0,1,0,0,0,1,0,1,1272313
4314,Lawyer Gamma,Action (Commercial),Ontario,Retail,Plaintiff,1,0,0,1,0,1,0,0,17255468
4315,Lawyer Kappa,Action (Privacy),Quebec,Insurance,Plaintiff,0,1,0,1,0,0,1,1,3661166
4316,Lawyer Alpha,Class Action (Privacy,Alberta,Pharmaceuticals,Defendant,0,1,0,1,0,0,0,0,14719248
4317,Lawyer Beta,Action (Commercial),Ontario,Transportation,Defendant,1,1,0,1,0,1,1,0,18380834
4318,Lawyer Zeta,Class Action (Securities),Quebec,Transportation,Third Party,0,0,0,0,1,1,1,1,1617931
4319,Lawyer Alpha,Class Action (Privacy,British Columbia,Pharmaceuticals,Plaintiff,1,1,0,1,0,0,1,1,17862138
4320,Lawyer Gamma,Class Action (Competition),Federal,Technology,Plaintiff,1,0,0,1,0,0,0,1,594102
4321,Lawyer Kappa,Class Action (Product Liabilty,British Columbia,Retail,Defendant,1,1,1,1,1,1,1,1,17736756
4322,Lawyer Theta,Class Action (Competition),British Columbia,Resources,Third Party,0,0,1,0,0,1,0,1,12515966
4323,Lawyer Zeta,Class Action (Competition),Quebec,Technology,Third Party,0,1,0,0,0,1,1,0,4710187
4324,Lawyer Eta,Action (Privacy),Federal,Technology,Plaintiff,0,0,1,1,0,0,1,0,17716497
4325,Lawyer Eta,Class Action (Product Liabilty,Quebec,Resources,Plaintiff,1,0,1,1,0,1,0,1,5586824
4326,Lawyer Delta,Action (Commercial),Quebec,Retail,Plaintiff,1,1,1,0,0,1,0,0,16515377
4327,Lawyer Alpha,Action (Product Liability),Ontario,Resources,Defendant,0,1,1,1,1,0,1,0,7073152
4328,Lawyer Delta,Action (Securities),British Columbia,Transportation,Plaintiff,0,0,0,0,0,1,0,1,6423734
4329,Lawyer Zeta,Action (Product Liability),Quebec,Construction,Defendant,0,1,0,0,0,1,0,0,12278322
4330,Lawyer Zeta,Action (Privacy),Quebec,Retail,Defendant,1,1,1,1,1,0,0,1,9191085
4331,Lawyer Eta,Class Action (Product Liabilty,British Columbia,Construction,Plaintiff,1,0,0,0,1,1,1,0,14151359
4332,Lawyer Beta,Action (Commercial),Alberta,Technology,Third Party,1,1,0,1,1,1,0,1,3889008
4333,Lawyer Theta,Class Action (Securities),British Columbia,Transportation,Third Party,1,1,1,0,1,1,1,0,4012744
4334,Lawyer Kappa,Class Action (Privacy,Quebec,Pharmaceuticals,Third Party,1,1,1,1,1,1,0,0,19664751
4335,Lawyer Beta,Action (Commercial),Ontario,Technology,Plaintiff,1,0,0,1,1,0,1,1,13464396
4336,Lawyer Kappa,Class Action (Competition),Ontario,Retail,Plaintiff,0,0,0,0,0,0,1,1,18345148
4337,Lawyer Delta,Action (Commercial),Federal,Banking,Plaintiff,1,0,0,0,0,1,1,1,16435125
4338,Lawyer Alpha,Action (Commercial),Alberta,Banking,Defendant,0,1,0,1,1,1,0,0,18897222
4339,Lawyer Alpha,Class Action (Competition),Federal,Resources,Third Party,1,1,1,1,1,1,1,0,4579353
4340,Lawyer Epsilon,Action (Securities),Quebec,Retail,Plaintiff,1,0,0,0,1,1,1,0,12506934
4341,Lawyer Alpha,Class Action (Privacy,British Columbia,Pharmaceuticals,Third Party,0,1,1,0,1,0,1,1,1164768
4342,Lawyer Iota,Action (Product Liability),Quebec,Retail,Plaintiff,1,1,0,0,0,0,1,1,13958847
4343,Lawyer Iota,Action (Commercial),Federal,Retail,Plaintiff,1,1,0,0,1,1,0,1,558586
4344,Lawyer Alpha,Class Action (Privacy,Ontario,Pharmaceuticals,Third Party,0,1,1,1,0,1,0,0,12027742
4345,Lawyer Iota,Action (Securities),Alberta,Technology,Defendant,0,1,0,0,0,0,1,1,5831051
4346,Lawyer Alpha,Class Action (Securities),Ontario,Retail,Defendant,0,1,1,1,0,1,0,1,11658235
4347,Lawyer Eta,Action (Commercial),British Columbia,Banking,Third Party,1,0,0,0,0,1,1,1,13069422
4348,Lawyer Beta,Action (Commercial),Quebec,Resources,Defendant,0,0,0,0,0,1,1,0,6007438
4349,Lawyer Epsilon,Action (Securities),Alberta,Construction,Defendant,0,1,0,0,0,1,1,0,6735745
4350,Lawyer Eta,Class Action (Securities),Quebec,Transportation,Plaintiff,1,1,1,0,0,1,1,0,15595107
4351,Lawyer Zeta,Class Action (Competition),Quebec,Banking,Third Party,1,1,1,1,1,0,0,1,8222033
4352,Lawyer Gamma,Action (Securities),Federal,Retail,Third Party,0,0,0,0,1,1,0,1,1789566
4353,Lawyer Epsilon,Action (Securities),Federal,Technology,Third Party,0,1,0,0,0,1,1,0,6595637
4354,Lawyer Zeta,Class Action (Securities),British Columbia,Construction,Plaintiff,1,1,0,0,1,0,1,0,2236610
4355,Lawyer Delta,Action (Product Liability),Federal,Insurance,Defendant,1,1,1,0,1,1,0,0,6597677
4356,Lawyer Epsilon,Action (Privacy),British Columbia,Transportation,Defendant,0,1,0,1,1,1,1,1,8595292
4357,Lawyer Zeta,Action (Product Liability),Ontario,Construction,Plaintiff,0,1,0,1,1,0,0,0,3834504
4358,Lawyer Iota,Class Action (Competition),Federal,Construction,Third Party,1,1,1,0,1,0,1,1,10522812
4359,Lawyer Alpha,Class Action (Securities),Alberta,Construction,Defendant,0,1,1,1,0,0,1,1,11708736
4360,Lawyer Eta,Action (Securities),Quebec,Insurance,Plaintiff,0,1,1,0,1,1,1,0,17386249
4361,Lawyer Kappa,Class Action (Securities),Quebec,Resources,Plaintiff,0,0,1,1,1,1,0,0,14711058
4362,Lawyer Zeta,Class Action (Privacy,Federal,Transportation,Third Party,1,0,0,0,0,1,1,1,4225497
4363,Lawyer Iota,Action (Commercial),Federal,Transportation,Third Party,0,0,0,1,0,1,1,0,11198433
4364,Lawyer Gamma,Class Action (Privacy,Federal,Technology,Plaintiff,1,1,0,0,0,1,1,0,18958646
4365,Lawyer Gamma,Class Action (Privacy,Ontario,Technology,Defendant,0,1,1,0,1,1,1,0,12674706
4366,Lawyer Epsilon,Class Action (Competition),Ontario,Insurance,Third Party,0,0,0,1,1,1,0,1,6168853
4367,Lawyer Eta,Action (Product Liability),Quebec,Construction,Defendant,1,1,0,1,1,0,1,1,10423775
4368,Lawyer Gamma,Class Action (Competition),Quebec,Technology,Third Party,1,1,0,1,1,0,1,0,13665742
4369,Lawyer Delta,Class Action (Securities),Ontario,Construction,Defendant,1,1,1,1,0,1,0,1,1601888
4370,Lawyer Kappa,Action (Commercial),British Columbia,Technology,Plaintiff,0,1,0,0,1,1,0,1,17800129
4371,Lawyer Beta,Action (Privacy),Federal,Construction,Defendant,0,1,0,0,0,1,0,0,7759204
4372,Lawyer Alpha,Class Action (Securities),Ontario,Retail,Defendant,1,0,0,1,1,1,0,0,17407649
4373,Lawyer Alpha,Class Action (Competition),Federal,Transportation,Plaintiff,1,1,0,0,1,0,1,1,7174651
4374,Lawyer Gamma,Class Action (Product Liabilty,Quebec,Technology,Defendant,0,0,1,0,0,1,1,0,9441882
4375,Lawyer Epsilon,Class Action (Product Liabilty,British Columbia,Retail,Defendant,0,0,1,1,0,1,0,0,7262761
4376,Lawyer Alpha,Action (Privacy),British Columbia,Retail,Defendant,0,0,0,1,1,1,1,1,19722817
4377,Lawyer Eta,Class Action (Securities),British Columbia,Pharmaceuticals,Third Party,0,1,0,0,1,1,1,0,17486952
4378,Lawyer Delta,Class Action (Competition),Ontario,Technology,Plaintiff,0,1,0,1,0,1,0,0,568779
4379,Lawyer Kappa,Class Action (Privacy,British Columbia,Insurance,Plaintiff,1,0,0,1,1,1,0,0,11006013
4380,Lawyer Kappa,Action (Privacy),Quebec,Insurance,Defendant,0,1,1,0,0,0,0,1,19634627
4381,Lawyer Alpha,Action (Privacy),Quebec,Construction,Defendant,0,0,1,1,0,0,0,0,13571996
4382,Lawyer Epsilon,Action (Privacy),Quebec,Retail,Third Party,0,1,1,1,0,0,1,0,12145177
4383,Lawyer Eta,Action (Commercial),Federal,Retail,Plaintiff,0,0,0,1,1,0,0,0,5371410
4384,Lawyer Gamma,Action (Securities),Alberta,Resources,Third Party,1,1,1,0,1,1,1,1,9158856
4385,Lawyer Theta,Action (Securities),Quebec,Retail,Defendant,1,0,0,0,0,1,0,1,774224
4386,Lawyer Delta,Action (Securities),Quebec,Banking,Defendant,1,1,0,1,1,0,0,0,14818870
4387,Lawyer Gamma,Class Action (Securities),Alberta,Pharmaceuticals,Plaintiff,1,1,1,0,0,0,1,0,19985306
4388,Lawyer Theta,Action (Product Liability),Federal,Resources,Third Party,0,0,0,0,0,0,1,1,2648766
4389,Lawyer Epsilon,Class Action (Product Liabilty,Federal,Pharmaceuticals,Plaintiff,0,0,1,1,0,1,0,1,9868526
4390,Lawyer Eta,Action (Securities),British Columbia,Technology,Defendant,0,1,0,1,0,1,0,1,15848248
4391,Lawyer Epsilon,Class Action (Privacy,Ontario,Pharmaceuticals,Plaintiff,1,0,0,1,0,1,0,0,1373992
4392,Lawyer Theta,Action (Commercial),Ontario,Construction,Defendant,1,0,0,0,0,0,1,1,4471665
4393,Lawyer Eta,Class Action (Privacy,Ontario,Insurance,Plaintiff,0,0,1,0,1,1,0,0,15753490
4394,Lawyer Beta,Class Action (Competition),Federal,Retail,Third Party,0,0,0,1,1,1,0,0,14549694
4395,Lawyer Zeta,Class Action (Product Liabilty,Alberta,Resources,Defendant,0,1,0,1,1,0,0,0,597937
4396,Lawyer Delta,Action (Commercial),Ontario,Retail,Plaintiff,1,0,0,1,1,1,0,1,5605154
4397,Lawyer Delta,Class Action (Competition),Ontario,Banking,Third Party,1,0,0,0,1,0,0,0,12723156
4398,Lawyer Iota,Class Action (Securities),Federal,Banking,Third Party,1,0,0,0,0,1,1,1,10111891
4399,Lawyer Kappa,Action (Privacy),Federal,Technology,Third Party,0,1,1,1,1,1,1,0,18939723
4400,Lawyer Kappa,Action (Product Liability),Alberta,Pharmaceuticals,Plaintiff,1,0,1,1,1,0,1,1,7953152
4401,Lawyer Iota,Action (Product Liability),Alberta,Technology,Third Party,0,0,0,1,0,1,1,1,16403407
4402,Lawyer Kappa,Action (Securities),British Columbia,Banking,Defendant,0,1,1,1,1,0,1,0,12001598
4403,Lawyer Gamma,Action (Privacy),Alberta,Construction,Plaintiff,1,0,0,0,1,1,0,1,1504934
4404,Lawyer Iota,Class Action (Securities),Federal,Construction,Defendant,0,0,0,1,0,1,0,1,1658310
4405,Lawyer Kappa,Action (Product Liability),Alberta,Resources,Plaintiff,0,1,0,1,0,1,0,1,13486828
4406,Lawyer Beta,Action (Product Liability),Quebec,Retail,Third Party,1,0,1,0,1,1,1,1,16586802
4407,Lawyer Delta,Action (Securities),Ontario,Banking,Defendant,0,1,1,0,1,1,0,0,931581
4408,Lawyer Iota,Action (Securities),Ontario,Technology,Third Party,1,1,1,0,1,0,0,1,11528791
4409,Lawyer Epsilon,Class Action (Privacy,Federal,Banking,Third Party,0,0,1,0,1,0,0,1,1651722
4410,Lawyer Beta,Action (Securities),Quebec,Construction,Defendant,1,0,1,0,1,1,0,0,7865785
4411,Lawyer Theta,Action (Privacy),Alberta,Construction,Plaintiff,1,1,0,1,0,0,0,1,19939948
4412,Lawyer Zeta,Action (Product Liability),Alberta,Retail,Third Party,0,1,0,1,1,1,1,0,18355473
4413,Lawyer Kappa,Action (Commercial),Alberta,Insurance,Third Party,0,1,1,1,1,1,0,0,14991819
4414,Lawyer Delta,Class Action (Competition),British Columbia,Construction,Plaintiff,0,1,1,1,0,0,1,0,14324829
4415,Lawyer Beta,Class Action (Securities),Ontario,Retail,Defendant,1,0,0,0,0,1,1,1,6834141
4416,Lawyer Beta,Class Action (Securities),Ontario,Resources,Defendant,0,1,1,0,0,1,1,0,4684917
4417,Lawyer Zeta,Action (Commercial),Alberta,Resources,Defendant,1,0,1,0,1,0,1,0,16067992
4418,Lawyer Zeta,Action (Securities),Quebec,Pharmaceuticals,Third Party,1,0,0,0,0,0,1,1,13856605
4419,Lawyer Theta,Class Action (Product Liabilty,Ontario,Banking,Third Party,0,0,1,0,1,0,1,1,7704129
4420,Lawyer Alpha,Action (Privacy),Federal,Banking,Plaintiff,0,0,1,1,1,0,1,1,1768012
4421,Lawyer Eta,Action (Commercial),Ontario,Insurance,Plaintiff,0,0,0,0,1,0,1,0,16758459
4422,Lawyer Beta,Action (Commercial),Alberta,Banking,Defendant,0,1,0,1,1,1,0,0,13140162
4423,Lawyer Eta,Action (Commercial),Alberta,Retail,Third Party,1,1,0,1,0,1,0,0,9198199
4424,Lawyer Kappa,Action (Securities),Ontario,Banking,Defendant,1,0,1,1,0,0,1,1,6060421
4425,Lawyer Epsilon,Class Action (Securities),British Columbia,Transportation,Plaintiff,1,1,1,0,0,1,1,0,15353672
4426,Lawyer Eta,Action (Product Liability),Quebec,Retail,Plaintiff,0,1,0,1,1,1,1,0,16660918
4427,Lawyer Alpha,Class Action (Privacy,British Columbia,Construction,Defendant,1,1,0,0,0,0,1,1,12347745
4428,Lawyer Delta,Class Action (Product Liabilty,British Columbia,Retail,Defendant,0,1,0,1,1,1,1,0,18356385
4429,Lawyer Theta,Class Action (Privacy,Quebec,Retail,Defendant,0,1,0,1,1,1,1,0,3159384
